touchpoint_id,anonymous_id,patient_id,channel,utm_medium,campaign,event_type,cost,event_at
tp_000040,anon_508584c3e09f,pat_000014,email,email,mental_health,signup,0.0,2024-10-02 15:59:40
tp_000041,anon_9667f09c60a2,,email,email,retargeting,click,0.17,2024-09-25 09:39:45
tp_000042,anon_9667f09c60a2,pat_000015,email,email,weight_mgmt,signup,0.0,2024-10-02 18:28:16
tp_000043,anon_49e241067621,,facebook,paid_social,mental_health,click,2.34,2024-09-21 18:39:20
tp_000044,anon_49e241067621,,facebook,paid_social,skin_health,click,4.71,2024-09-23 16:33:22
tp_000045,anon_49e241067621,pat_000016,facebook,paid_social,mental_health,signup,0.0,2024-10-02 15:26:01
tp_000046,anon_e9714eca4832,,google,cpc,brand,click,4.12,2024-09-19 13:53:06
tp_000047,anon_e9714eca4832,,google,cpc,skin_health,click,6.59,2024-09-23 08:01:15
tp_000048,anon_e9714eca4832,,instagram,paid_social,retargeting,click,3.72,2024-09-25 08:59:12
tp_000049,anon_e9714eca4832,pat_000017,google,cpc,weight_mgmt,signup,0.0,2024-10-02 17:26:16
tp_000050,anon_2f1708d1980f,,referral,referral,retargeting,visit,0.0,2024-09-24 10:52:59
tp_000051,anon_2f1708d1980f,,facebook,paid_social,brand,click,3.46,2024-09-30 09:41:48
tp_000052,anon_2f1708d1980f,,google,cpc,brand,click,4.78,2024-10-01 10:08:18
tp_000053,anon_2f1708d1980f,pat_000018,referral,referral,weight_mgmt,signup,0.0,2024-10-02 17:04:21
tp_000054,anon_a5baa3b9bb5c,,facebook,paid_social,retargeting,click,3.32,2024-09-23 10:29:06
tp_000055,anon_a5baa3b9bb5c,,organic,organic,mental_health,visit,0.0,2024-09-29 15:33:13
tp_000056,anon_a5baa3b9bb5c,pat_000019,facebook,paid_social,mental_health,signup,0.0,2024-10-02 17:14:35
tp_000057,anon_9555ce1a037e,,facebook,paid_social,retargeting,click,4.09,2024-09-23 14:52:00
tp_000058,anon_9555ce1a037e,,facebook,paid_social,mental_health,click,4.41,2024-09-24 12:20:50
tp_000059,anon_9555ce1a037e,pat_000020,facebook,paid_social,retargeting,signup,0.0,2024-10-02 14:58:18
tp_000060,anon_19fa15947863,,instagram,paid_social,mental_health,click,5.44,2024-09-26 16:38:01
tp_000061,anon_19fa15947863,,google,cpc,brand,click,3.12,2024-09-27 09:45:28
tp_000062,anon_19fa15947863,pat_000021,instagram,paid_social,mental_health,signup,0.0,2024-10-03 10:22:07
tp_000063,anon_abc3251db09c,,facebook,paid_social,retargeting,click,3.32,2024-09-23 10:49:00
tp_000064,anon_abc3251db09c,,instagram,paid_social,weight_mgmt,click,5.07,2024-09-28 14:22:25
tp_000065,anon_abc3251db09c,pat_000022,facebook,paid_social,retargeting,signup,0.0,2024-10-03 14:41:28
tp_000066,anon_9efe897497fa,,google,cpc,mental_health,click,2.83,2024-09-19 12:58:29
tp_000067,anon_9efe897497fa,,email,email,mental_health,click,0.3,2024-09-22 14:23:24
tp_000068,anon_9efe897497fa,,google,cpc,weight_mgmt,click,5.25,2024-09-24 15:17:45
tp_000069,anon_9efe897497fa,pat_000023,google,cpc,brand,signup,0.0,2024-10-03 10:34:57
tp_000070,anon_b2eccc3423a2,,instagram,paid_social,brand,click,2.64,2024-09-20 19:14:50
tp_000071,anon_b2eccc3423a2,,google,cpc,brand,click,3.92,2024-09-23 15:43:08
tp_000072,anon_b2eccc3423a2,,facebook,paid_social,skin_health,click,3.04,2024-09-27 11:55:27
tp_000073,anon_b2eccc3423a2,pat_000024,instagram,paid_social,retargeting,signup,0.0,2024-10-03 10:04:19
tp_000074,anon_e14d504b58b6,,referral,referral,brand,visit,0.0,2024-09-26 13:29:13
tp_000075,anon_e14d504b58b6,pat_000025,referral,referral,weight_mgmt,signup,0.0,2024-10-03 10:29:53
tp_000076,anon_2b5bc63015a2,,google,cpc,brand,click,4.66,2024-09-22 16:22:10
tp_000077,anon_2b5bc63015a2,,referral,referral,mental_health,visit,0.0,2024-09-24 18:26:18
tp_000078,anon_2b5bc63015a2,,facebook,paid_social,skin_health,click,2.67,2024-09-27 15:22:24
tp_000079,anon_2b5bc63015a2,pat_000026,google,cpc,brand,signup,0.0,2024-10-03 13:54:44
tp_000080,anon_1a7cf4afe35c,,instagram,paid_social,skin_health,click,5.15,2024-09-23 14:10:50
tp_000081,anon_1a7cf4afe35c,,google,cpc,weight_mgmt,click,3.04,2024-09-26 19:31:39
tp_000082,anon_1a7cf4afe35c,pat_000027,instagram,paid_social,brand,signup,0.0,2024-10-03 17:39:33
tp_000083,anon_dcc65915b0ec,,google,cpc,skin_health,click,4.79,2024-09-20 18:15:44
tp_000084,anon_dcc65915b0ec,,email,email,skin_health,click,0.26,2024-09-22 18:16:34
tp_000085,anon_dcc65915b0ec,,instagram,paid_social,retargeting,click,3.23,2024-09-30 19:25:05
tp_000086,anon_dcc65915b0ec,pat_000028,google,cpc,mental_health,signup,0.0,2024-10-03 10:44:53
tp_000087,anon_20b16b1e7693,,facebook,paid_social,brand,click,2.91,2024-09-25 13:13:33
tp_000088,anon_20b16b1e7693,,google,cpc,brand,click,5.47,2024-09-28 17:13:51
tp_000089,anon_20b16b1e7693,,facebook,paid_social,retargeting,click,3.46,2024-10-01 08:44:48
tp_000090,anon_20b16b1e7693,pat_000029,facebook,paid_social,skin_health,signup,0.0,2024-10-03 18:24:24
tp_000091,anon_fad59a8eb424,,google,cpc,skin_health,click,7.16,2024-09-22 17:32:25
tp_000092,anon_fad59a8eb424,,instagram,paid_social,weight_mgmt,click,3.37,2024-09-30 13:08:59
tp_000093,anon_fad59a8eb424,,facebook,paid_social,mental_health,click,3.84,2024-10-02 08:57:11
tp_000094,anon_fad59a8eb424,pat_000030,google,cpc,mental_health,signup,0.0,2024-10-03 09:11:59
tp_000095,anon_3a99173dc391,,google,cpc,weight_mgmt,click,6.83,2024-09-27 13:38:51
tp_000096,anon_3a99173dc391,pat_000031,google,cpc,skin_health,signup,0.0,2024-10-03 10:20:50
tp_000097,anon_ef33e2a67ba9,,facebook,paid_social,mental_health,click,2.73,2024-09-22 11:53:57
tp_000098,anon_ef33e2a67ba9,,facebook,paid_social,skin_health,click,2.38,2024-09-24 10:30:15
tp_000099,anon_ef33e2a67ba9,,google,cpc,mental_health,click,6.5,2024-09-26 09:50:28
tp_000100,anon_ef33e2a67ba9,pat_000032,facebook,paid_social,retargeting,signup,0.0,2024-10-03 17:49:34
tp_000101,anon_072311bbe323,,google,cpc,retargeting,click,6.34,2024-09-19 11:00:48
tp_000102,anon_072311bbe323,,email,email,brand,click,0.2,2024-09-30 12:19:26
tp_000103,anon_072311bbe323,pat_000033,google,cpc,skin_health,signup,0.0,2024-10-03 19:06:55
tp_000104,anon_bd1bca3ba141,,instagram,paid_social,retargeting,click,5.55,2024-09-27 16:24:16
tp_000105,anon_bd1bca3ba141,pat_000034,instagram,paid_social,mental_health,signup,0.0,2024-10-03 14:57:06
tp_000106,anon_40dbc3c11630,,instagram,paid_social,retargeting,click,4.81,2024-09-25 14:55:16
tp_000107,anon_40dbc3c11630,,google,cpc,weight_mgmt,click,2.84,2024-09-26 10:00:02
tp_000108,anon_40dbc3c11630,,google,cpc,skin_health,click,4.11,2024-10-01 10:45:24
tp_000109,anon_40dbc3c11630,pat_000035,instagram,paid_social,skin_health,signup,0.0,2024-10-04 11:42:42
tp_000110,anon_1d85aec31e85,,facebook,paid_social,retargeting,click,2.83,2024-09-28 14:26:58
tp_000111,anon_1d85aec31e85,,instagram,paid_social,mental_health,click,4.24,2024-10-01 11:30:00
tp_000112,anon_1d85aec31e85,pat_000036,facebook,paid_social,weight_mgmt,signup,0.0,2024-10-04 13:04:44
tp_000113,anon_a672fe5788b3,,instagram,paid_social,mental_health,click,3.11,2024-09-26 18:26:23
tp_000114,anon_a672fe5788b3,,instagram,paid_social,skin_health,click,5.24,2024-09-28 15:10:56
tp_000115,anon_a672fe5788b3,pat_000037,instagram,paid_social,mental_health,signup,0.0,2024-10-04 10:39:59
tp_000116,anon_88208b6dd53c,,organic,organic,mental_health,visit,0.0,2024-09-30 12:56:40
tp_000117,anon_88208b6dd53c,pat_000038,organic,organic,weight_mgmt,signup,0.0,2024-10-04 09:59:18
tp_000118,anon_dc274a4372d2,,facebook,paid_social,weight_mgmt,click,1.82,2024-09-22 18:01:07
tp_000119,anon_dc274a4372d2,,referral,referral,weight_mgmt,visit,0.0,2024-09-28 16:39:35
tp_000120,anon_dc274a4372d2,pat_000039,facebook,paid_social,skin_health,signup,0.0,2024-10-04 19:50:33
tp_000121,anon_1333f1f8c733,,organic,organic,weight_mgmt,visit,0.0,2024-09-27 08:39:41
tp_000122,anon_1333f1f8c733,pat_000040,organic,organic,skin_health,signup,0.0,2024-10-04 17:01:05
tp_000123,anon_e2d40b295c8a,,instagram,paid_social,skin_health,click,5.21,2024-09-23 10:26:34
tp_000124,anon_e2d40b295c8a,,organic,organic,skin_health,visit,0.0,2024-09-26 10:03:02
tp_000125,anon_e2d40b295c8a,pat_000041,instagram,paid_social,mental_health,signup,0.0,2024-10-04 10:57:29
tp_000126,anon_8c9a8560834c,,organic,organic,retargeting,visit,0.0,2024-09-20 15:17:49
tp_000127,anon_8c9a8560834c,,instagram,paid_social,weight_mgmt,click,5.54,2024-09-23 16:41:30
tp_000128,anon_8c9a8560834c,,facebook,paid_social,weight_mgmt,click,1.82,2024-09-27 14:58:57
tp_000129,anon_8c9a8560834c,pat_000042,organic,organic,weight_mgmt,signup,0.0,2024-10-04 16:07:57
tp_000130,anon_eea08e0c1d0d,,google,cpc,mental_health,click,3.42,2024-09-23 17:08:53
tp_000131,anon_eea08e0c1d0d,pat_000043,google,cpc,mental_health,signup,0.0,2024-10-04 10:08:14
tp_000132,anon_8996ee8739a9,,organic,organic,retargeting,visit,0.0,2024-09-22 11:58:33
tp_000133,anon_8996ee8739a9,,email,email,retargeting,click,0.29,2024-09-25 09:29:25
tp_000134,anon_8996ee8739a9,pat_000044,organic,organic,retargeting,signup,0.0,2024-10-04 16:07:58
tp_000135,anon_cb638d47160b,,facebook,paid_social,retargeting,click,3.13,2024-10-01 11:44:21
tp_000136,anon_cb638d47160b,pat_000045,facebook,paid_social,retargeting,signup,0.0,2024-10-04 16:53:55
tp_000137,anon_114d7bf071a3,,email,email,retargeting,click,0.24,2024-09-26 18:28:18
tp_000138,anon_114d7bf071a3,,google,cpc,mental_health,click,4.46,2024-10-01 18:42:53
tp_000139,anon_114d7bf071a3,pat_000046,email,email,retargeting,signup,0.0,2024-10-05 10:44:39
tp_000140,anon_2ac5329a2fc9,,email,email,retargeting,click,0.22,2024-09-27 16:40:05
tp_000141,anon_2ac5329a2fc9,,google,cpc,skin_health,click,4.14,2024-09-29 13:27:58
tp_000142,anon_2ac5329a2fc9,pat_000047,email,email,brand,signup,0.0,2024-10-05 10:05:42
tp_000143,anon_015184e78be6,,google,cpc,retargeting,click,4.62,2024-09-26 16:24:41
tp_000144,anon_015184e78be6,pat_000048,google,cpc,weight_mgmt,signup,0.0,2024-10-05 15:22:25
tp_000145,anon_747e81d0f621,,facebook,paid_social,weight_mgmt,click,2.42,2024-09-25 09:08:20
tp_000146,anon_747e81d0f621,,instagram,paid_social,retargeting,click,2.75,2024-09-28 13:56:03
tp_000147,anon_747e81d0f621,pat_000049,facebook,paid_social,weight_mgmt,signup,0.0,2024-10-05 16:19:46
tp_000148,anon_1178cac433d2,,facebook,paid_social,skin_health,click,3.65,2024-09-29 13:24:53
tp_000149,anon_1178cac433d2,pat_000050,facebook,paid_social,retargeting,signup,0.0,2024-10-05 18:44:37
tp_000150,anon_f162edfbd123,,instagram,paid_social,skin_health,click,2.75,2024-09-25 19:34:08
tp_000151,anon_f162edfbd123,,instagram,paid_social,weight_mgmt,click,4.04,2024-10-02 16:54:49
tp_000152,anon_f162edfbd123,pat_000051,instagram,paid_social,mental_health,signup,0.0,2024-10-05 10:33:14
tp_000153,anon_8de0cd4a918c,,organic,organic,retargeting,visit,0.0,2024-10-01 17:00:38
tp_000154,anon_8de0cd4a918c,pat_000052,organic,organic,skin_health,signup,0.0,2024-10-05 16:57:05
tp_000155,anon_8e31f12b672c,,facebook,paid_social,skin_health,click,3.5,2024-09-26 17:01:00
tp_000156,anon_8e31f12b672c,,instagram,paid_social,brand,click,4.1,2024-10-01 12:52:36
tp_000157,anon_8e31f12b672c,pat_000053,facebook,paid_social,retargeting,signup,0.0,2024-10-05 14:40:42
tp_000158,anon_2f89708367ec,,facebook,paid_social,retargeting,click,2.55,2024-09-29 17:53:49
tp_000159,anon_2f89708367ec,,email,email,skin_health,click,0.28,2024-10-03 14:32:14
tp_000160,anon_2f89708367ec,pat_000054,facebook,paid_social,skin_health,signup,0.0,2024-10-06 17:54:45
tp_000161,anon_fe4a45c8e0e3,,referral,referral,retargeting,visit,0.0,2024-09-23 18:37:52
tp_000162,anon_fe4a45c8e0e3,,referral,referral,weight_mgmt,visit,0.0,2024-10-05 19:57:28
tp_000163,anon_fe4a45c8e0e3,pat_000055,referral,referral,weight_mgmt,signup,0.0,2024-10-06 12:51:07
tp_000164,anon_537a4191d743,,google,cpc,mental_health,click,6.33,2024-10-03 14:31:53
tp_000165,anon_537a4191d743,pat_000056,google,cpc,retargeting,signup,0.0,2024-10-06 08:30:48
tp_000166,anon_92199bcebe6a,,google,cpc,brand,click,3.75,2024-09-28 11:58:59
tp_000167,anon_92199bcebe6a,,google,cpc,skin_health,click,2.7,2024-10-03 19:10:47
tp_000168,anon_92199bcebe6a,pat_000057,google,cpc,weight_mgmt,signup,0.0,2024-10-06 10:22:31
tp_000169,anon_069d045bd535,,facebook,paid_social,skin_health,click,3.56,2024-09-22 14:07:36
tp_000170,anon_069d045bd535,,facebook,paid_social,weight_mgmt,click,4.73,2024-09-30 15:57:10
tp_000171,anon_069d045bd535,,email,email,skin_health,click,0.25,2024-10-04 11:10:16
tp_000172,anon_069d045bd535,pat_000058,facebook,paid_social,retargeting,signup,0.0,2024-10-06 19:10:20
tp_000173,anon_0c6894ece94f,,email,email,retargeting,click,0.2,2024-10-03 18:19:50
tp_000174,anon_0c6894ece94f,pat_000059,email,email,brand,signup,0.0,2024-10-06 11:18:52
tp_000175,anon_c5fbfca69d97,,google,cpc,mental_health,click,3.46,2024-09-24 09:36:54
tp_000176,anon_c5fbfca69d97,,organic,organic,mental_health,visit,0.0,2024-10-04 12:49:40
tp_000177,anon_c5fbfca69d97,pat_000060,google,cpc,weight_mgmt,signup,0.0,2024-10-06 12:32:33
tp_000178,anon_2481a431ae14,,facebook,paid_social,skin_health,click,2.1,2024-09-28 16:43:43
tp_000179,anon_2481a431ae14,,email,email,retargeting,click,0.25,2024-09-29 12:06:23
tp_000180,anon_2481a431ae14,pat_000061,facebook,paid_social,weight_mgmt,signup,0.0,2024-10-06 16:12:55
tp_000181,anon_4130c4adc868,,google,cpc,skin_health,click,4.51,2024-09-28 12:16:40
tp_000182,anon_4130c4adc868,pat_000062,google,cpc,brand,signup,0.0,2024-10-07 16:21:27
tp_000183,anon_540a3fb9d32d,,facebook,paid_social,retargeting,click,3.45,2024-09-30 09:39:16
tp_000184,anon_540a3fb9d32d,pat_000063,facebook,paid_social,retargeting,signup,0.0,2024-10-07 19:16:11
tp_000185,anon_80456796b621,,google,cpc,skin_health,click,4.19,2024-09-23 19:16:56
tp_000186,anon_80456796b621,pat_000064,google,cpc,retargeting,signup,0.0,2024-10-07 16:36:47
tp_000187,anon_a211e011eeda,,referral,referral,mental_health,visit,0.0,2024-09-26 14:48:23
tp_000188,anon_a211e011eeda,,email,email,brand,click,0.3,2024-10-01 16:57:51
tp_000189,anon_a211e011eeda,pat_000065,referral,referral,weight_mgmt,signup,0.0,2024-10-07 15:26:58
tp_000190,anon_860d430d0438,,facebook,paid_social,retargeting,click,2.17,2024-09-24 16:12:04
tp_000191,anon_860d430d0438,pat_000066,facebook,paid_social,skin_health,signup,0.0,2024-10-07 19:59:12
tp_000192,anon_7af3faf29efe,,instagram,paid_social,weight_mgmt,click,2.46,2024-09-24 19:58:11
tp_000193,anon_7af3faf29efe,,instagram,paid_social,mental_health,click,3.86,2024-09-25 15:00:09
tp_000194,anon_7af3faf29efe,,facebook,paid_social,retargeting,click,4.55,2024-10-04 12:31:08
tp_000195,anon_7af3faf29efe,pat_000067,instagram,paid_social,mental_health,signup,0.0,2024-10-07 15:14:34
tp_000196,anon_419d457e5b0f,,instagram,paid_social,mental_health,click,4.59,2024-09-23 18:04:39
tp_000197,anon_419d457e5b0f,,instagram,paid_social,weight_mgmt,click,2.83,2024-09-25 13:17:23
tp_000198,anon_419d457e5b0f,pat_000068,instagram,paid_social,mental_health,signup,0.0,2024-10-07 10:24:54
tp_000199,anon_dcc66f8ee47a,,instagram,paid_social,retargeting,click,3.1,2024-09-25 15:41:21
tp_000200,anon_dcc66f8ee47a,,organic,organic,retargeting,visit,0.0,2024-09-26 14:56:00
tp_000201,anon_dcc66f8ee47a,,google,cpc,brand,click,3.6,2024-09-30 10:55:47
tp_000202,anon_dcc66f8ee47a,pat_000069,instagram,paid_social,mental_health,signup,0.0,2024-10-07 12:33:40
tp_000203,anon_0a4130ca693c,,email,email,retargeting,click,0.2,2024-09-25 17:18:03
tp_000204,anon_0a4130ca693c,,email,email,mental_health,click,0.26,2024-09-28 08:51:18
tp_000205,anon_0a4130ca693c,,referral,referral,skin_health,visit,0.0,2024-10-03 13:41:30
tp_000206,anon_0a4130ca693c,pat_000070,email,email,retargeting,signup,0.0,2024-10-07 08:58:45
tp_000207,anon_0dbff7c98e4f,,google,cpc,weight_mgmt,click,4.02,2024-09-25 11:13:47
tp_000208,anon_0dbff7c98e4f,,referral,referral,brand,visit,0.0,2024-09-27 11:09:49
tp_000209,anon_0dbff7c98e4f,,email,email,brand,click,0.2,2024-09-28 15:48:02
tp_000210,anon_0dbff7c98e4f,pat_000071,google,cpc,mental_health,signup,0.0,2024-10-07 18:07:57
tp_000211,anon_0177ef941d67,,email,email,retargeting,click,0.29,2024-09-27 13:28:56
tp_000212,anon_0177ef941d67,,facebook,paid_social,retargeting,click,3.45,2024-10-06 09:19:36
tp_000213,anon_0177ef941d67,pat_000072,email,email,mental_health,signup,0.0,2024-10-07 17:33:52
tp_000214,anon_feca70af47eb,,facebook,paid_social,mental_health,click,2.68,2024-09-26 19:15:19
tp_000215,anon_feca70af47eb,pat_000073,facebook,paid_social,retargeting,signup,0.0,2024-10-07 16:38:40
tp_000216,anon_1437ff3bde89,,organic,organic,skin_health,visit,0.0,2024-09-26 10:03:50
tp_000217,anon_1437ff3bde89,,facebook,paid_social,retargeting,click,3.97,2024-10-03 08:26:59
tp_000218,anon_1437ff3bde89,,organic,organic,mental_health,visit,0.0,2024-10-06 17:15:40
tp_000219,anon_1437ff3bde89,pat_000074,organic,organic,skin_health,signup,0.0,2024-10-07 16:51:43
tp_000220,anon_892458a0bd18,,instagram,paid_social,mental_health,click,3.01,2024-10-01 17:45:34
tp_000221,anon_892458a0bd18,pat_000075,instagram,paid_social,skin_health,signup,0.0,2024-10-08 18:16:46
tp_000222,anon_9725ab053318,,instagram,paid_social,skin_health,click,2.99,2024-10-02 13:34:56
tp_000223,anon_9725ab053318,pat_000076,instagram,paid_social,retargeting,signup,0.0,2024-10-08 14:16:07
tp_000224,anon_f0a74cf13a15,,facebook,paid_social,mental_health,click,4.2,2024-09-29 19:10:40
tp_000225,anon_f0a74cf13a15,pat_000077,facebook,paid_social,brand,signup,0.0,2024-10-08 10:55:34
tp_000226,anon_10414d2e1d89,,google,cpc,brand,click,5.44,2024-10-03 14:59:47
tp_000227,anon_10414d2e1d89,pat_000078,google,cpc,skin_health,signup,0.0,2024-10-08 19:10:36
tp_000228,anon_3c608b20bda7,,organic,organic,retargeting,visit,0.0,2024-10-04 08:36:42
tp_000229,anon_3c608b20bda7,,email,email,retargeting,click,0.22,2024-10-07 12:13:02
tp_000230,anon_3c608b20bda7,pat_000079,organic,organic,retargeting,signup,0.0,2024-10-08 11:05:07
tp_000231,anon_4a89e6781098,,google,cpc,brand,click,6.02,2024-09-24 09:14:56
tp_000232,anon_4a89e6781098,,organic,organic,retargeting,visit,0.0,2024-09-28 18:10:42
tp_000233,anon_4a89e6781098,,organic,organic,mental_health,visit,0.0,2024-10-01 13:02:01
tp_000234,anon_4a89e6781098,pat_000080,google,cpc,weight_mgmt,signup,0.0,2024-10-08 19:02:18
tp_000235,anon_7788bba3f420,,instagram,paid_social,mental_health,click,5.17,2024-09-25 18:27:56
tp_000236,anon_7788bba3f420,,google,cpc,skin_health,click,7.05,2024-10-06 18:15:07
tp_000237,anon_7788bba3f420,pat_000081,instagram,paid_social,skin_health,signup,0.0,2024-10-08 12:25:43
tp_000238,anon_72436a51da11,,google,cpc,weight_mgmt,click,5.75,2024-10-03 12:11:08
tp_000239,anon_72436a51da11,pat_000082,google,cpc,mental_health,signup,0.0,2024-10-08 15:30:28
tp_000240,anon_99e8d91a44e3,,facebook,paid_social,retargeting,click,2.61,2024-09-30 11:27:42
tp_000241,anon_99e8d91a44e3,,facebook,paid_social,weight_mgmt,click,2.5,2024-10-02 12:24:23
tp_000242,anon_99e8d91a44e3,,organic,organic,weight_mgmt,visit,0.0,2024-10-05 12:32:44
tp_000243,anon_99e8d91a44e3,pat_000083,facebook,paid_social,retargeting,signup,0.0,2024-10-08 14:28:52
tp_000244,anon_d906e1d354b7,,facebook,paid_social,retargeting,click,2.75,2024-09-24 18:27:31
tp_000245,anon_d906e1d354b7,pat_000084,facebook,paid_social,mental_health,signup,0.0,2024-10-08 16:56:05
tp_000246,anon_956a34a91b5d,,email,email,skin_health,click,0.32,2024-09-27 17:26:01
tp_000247,anon_956a34a91b5d,,facebook,paid_social,brand,click,1.84,2024-10-01 11:50:11
tp_000248,anon_956a34a91b5d,,facebook,paid_social,brand,click,2.78,2024-10-02 19:09:19
tp_000249,anon_956a34a91b5d,pat_000085,email,email,mental_health,signup,0.0,2024-10-08 11:24:25
tp_000250,anon_e399f8ad1387,,google,cpc,weight_mgmt,click,5.27,2024-09-24 18:29:01
tp_000251,anon_e399f8ad1387,,email,email,brand,click,0.26,2024-10-01 12:17:33
tp_000252,anon_e399f8ad1387,pat_000086,google,cpc,retargeting,signup,0.0,2024-10-08 15:52:05
tp_000253,anon_ebbdf2384955,,facebook,paid_social,retargeting,click,4.38,2024-09-26 08:52:06
tp_000254,anon_ebbdf2384955,,facebook,paid_social,weight_mgmt,click,1.98,2024-09-30 12:37:45
tp_000255,anon_ebbdf2384955,,facebook,paid_social,brand,click,3.15,2024-10-02 14:05:32
tp_000256,anon_ebbdf2384955,pat_000087,facebook,paid_social,mental_health,signup,0.0,2024-10-08 14:34:16
tp_000257,anon_1bde9eed2c67,,instagram,paid_social,mental_health,click,3.99,2024-10-04 10:43:22
tp_000258,anon_1bde9eed2c67,pat_000088,instagram,paid_social,mental_health,signup,0.0,2024-10-09 17:08:45
tp_000259,anon_67a1e79c9165,,facebook,paid_social,skin_health,click,2.24,2024-10-02 14:07:11
tp_000260,anon_67a1e79c9165,,google,cpc,retargeting,click,6.05,2024-10-05 17:58:43
tp_000261,anon_67a1e79c9165,,facebook,paid_social,brand,click,3.0,2024-10-07 15:54:34
tp_000262,anon_67a1e79c9165,pat_000089,facebook,paid_social,weight_mgmt,signup,0.0,2024-10-09 10:27:18
tp_000263,anon_1f19849ff802,,google,cpc,skin_health,click,4.16,2024-10-07 18:29:09
tp_000264,anon_1f19849ff802,pat_000090,google,cpc,brand,signup,0.0,2024-10-09 10:02:54
tp_000265,anon_d6a64a93094c,,instagram,paid_social,skin_health,click,4.28,2024-10-03 16:01:06
